State,No. of Tribal Districts,Geographical area,RFA/GW Digital area,Forest Cover Inside RFA/GW 2019 - VDF,Forest Cover Inside RFA/GW 2019 - MDF,Forest Cover Inside RFA/GW 2019 - OF,Forest Cover Inside RFA/GW 2019 - TOTAL,Forest Cover Inside RFA/GW 2021 - VDF,Forest Cover Inside RFA/GW 2021 - MDF,Forest Cover Inside RFA/GW 2021 - OF,Forest Cover Inside RFA/GW 2021 - TOTAL,Forest Cover Outside RFA/GW 2019 - VDF,Forest Cover Outside RFA/GW 2019 - MDF,Forest Cover Outside RFA/GW 2019 - OF,Forest Cover Outside RFA/GW 2021 - TOTAL,Forest Cover Outside RFA/GW 2021 - VDF,Forest Cover Outside RFA/GW 2021 - MDF,Forest Cover Outside RFA/GW 2021 - OF,Forest Cover Outside RFA/GW 2021 - TOTAL,Change Inside RFA/GW,Change Outside RFA/GW,Net Change
Andhra Pradesh,5,44849,13297,1525,4631,2673,8829,1525,4624,2730,8879,22,769,2606,3397,22,767,2930,3719,50,322,372
Arunachal Pradesh,16,83743,63838,19640,27384,11697,58721,19637,27171,11872,58680,1455,3173,3339,7967,1421,3005,3325,7751,-41,-216,-257
Assam,19,49489,9888,1400,2781,2398,6579,1486,2676,2395,6557,113,890,4491,5494,112,893,4597,5602,-22,108,86
Chhattisgarh,11,92645,35955,4810,16803,6900,28513,4805,16913,6832,28550,1700,5082,4693,11475,1698,5069,4750,11517,37,42,79
Gujarat,9,49885,7718,303,2327,2428,5058,303,2303,2437,5043,21,593,1197,1811,21,585,1208,1814,-15,3,-12
Himachal Pradesh,3,26764,3143,751,913,585,2249,751,913,585,2249,112,460,441,1013,112,459,437,1008,0,-5,-5
Jharkhand,17,58677,11658,829,3244,3465,7538,828,3244,3517,7589,1050,4005,4848,9903,1049,4006,4877,9932,51,29,80
Karnataka,5,26054,6612,1964,2981,694,5639,1965,2977,698,5640,632,4953,2392,7977,630,4937,2401,7968,1,-9,-8
Kerala,9,27207,8755,1355,3887,1881,7123,1364,3877,1919,7160,116,2943,5229,8288,114,2926,5311,8351,37,63,100
Madhya Pradesh,24,152132,51919,5719,19129,14612,39460,5715,19075,14585,39375,331,2796,4876,8003,328,2759,4900,7987,-85,-16,-101
Maharashtra,12,144233,41590,7136,10268,8810,26214,7138,10301,8785,26224,80,1366,2783,4229,81,1358,2785,4224,10,-5,5
Manipur,9,22327,17542,897,5864,8257,15018,895,5743,8195,14833,8,522,1299,1829,10,485,1270,1765,-185,-64,-249
Meghalaya,7,22429,17563,442,7743,6659,14844,512,7652,6634,14798,47,1524,704,2275,48,1508,692,2248,-46,-27,-73
Mizoram,8,21081,20663,156,5708,11872,17736,156,5624,11776,17556,1,93,176,270,1,91,172,264,-180,-6,-186
Nagaland,11,16579,10633,1166,3279,4282,8727,1169,3203,4256,8628,107,1255,2397,3759,103,1246,2274,3623,-99,-136,-235
Odisha,12,86091,24685,3883,9307,6770,19960,3925,8690,7114,19729,1235,5089,8047,14371,1394,5148,8290,14832,-231,461,230
Rajasthan,5,29601,9016,0,2064,2482,4546,0,2066,2468,4534,0,94,638,732,0,92,633,725,-12,-7,-19
Sikkim,4,7096,5414,832,879,345,2056,832,879,343,2054,270,673,343,1286,270,672,345,1287,-2,1,-1
Tamil Nadu,6,25607,5342,797,2318,1401,4516,797,2318,1402,4517,45,447,663,1155,43,449,676,1168,1,13,14
Telangana,3,42217,16933,1130,6486,4381,11997,1144,6736,4229,12109,69,347,741,1157,69,347,826,1242,112,85,197
Tripura,4,10486,5838,410,3903,1138,5451,407,3886,1140,5433,244,1333,698,2275,240,1326,723,2289,-18,14,-4
Uttar Pradesh,1,7680,1191,752,118,90,960,752,118,89,959,53,40,220,313,53,40,220,313,-1,0,-1
West Bengal,12,69403,13095,2593,2363,2101,7057,2610,2366,2063,7039,412,1357,5824,7593,412,1403,5727,7542,-18,-51,-69
A&N Islands,3,8249,6829,5409,546,253,6208,5409,546,253,6208,269,138,128,535,269,137,130,536,0,1,1
Dadra & Nagar Haveli and Daman & Diu,2,563,202,0,69.35,90.2,159.55,0,69.38,90.64,160.02,0,12.51,46.01,58.52,0,12.42,45.74,58.16,0.47,-0.36,0.11
Lakshadweep,1,30,-,0,0,0,0,0,0,0,0,0,16.09,11.01,27.1,0,16.09,11.01,27.1,0,0,0
Total,218,1125117,392106,63899,144995,106264,315158,64125,143970,106408,314503,8392,39971,58830,107193,8500,39737,59556,107793,-655,600,-55
